associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen			500	USA			37.199	-112.981	2011-11-02		COM1		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291280	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1146731.87342913, -777662.101354759)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.199	-112.981	2011-11-02		COM1		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291299	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1146731.87342913, -777662.101354759)	Colorado Plateaus
	PreservedSpecimen			500	USA			37.199	-112.981	2011-11-02		COM1		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO291307	pan trap	Augochlorella pomoniella			Utah	2011	gbif	Augochlorella pomoniella	c(-1146731.87342913, -777662.101354759)	Colorado Plateaus
	PreservedSpecimen			500	USA	Mesa		39.102	-108.738	2011-06-15		COM		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO295556	pan trap	Osmia clarescens			Colorado	2011	gbif	Osmia clarescens/sanrafaelae	c(-753281.546777441, -615891.562006084)	Colorado Plateaus
	PreservedSpecimen			500	USA	Mesa		39.029	-108.628	2011-06-15		VUL		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO295600	pan trap	Agapostemon texanus			Colorado	2011	gbif	Agapostemon angelicus/texanus	c(-744636.729172917, -624960.818592679)	Colorado Plateaus
	PreservedSpecimen			500	USA	Mesa		39.029	-108.628	2011-06-15		VUL		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO295619	pan trap	Lasioglossum arcanum			Colorado	2011	gbif	Lasioglossum arcanum	c(-744636.729172917, -624960.818592679)	Colorado Plateaus
	PreservedSpecimen			500	USA	Mesa		39.029	-108.628	2011-06-15		VUL		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO295637	pan trap	Lasioglossum arcanum			Colorado	2011	gbif	Lasioglossum arcanum	c(-744636.729172917, -624960.818592679)	Colorado Plateaus
	PreservedSpecimen			500	USA	Mesa		39.029	-108.628	2011-06-15		VUL		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO295655	pan trap	Perdita moabensis			Colorado	2011	gbif	Perdita moabensis	c(-744636.729172917, -624960.818592679)	Colorado Plateaus
	PreservedSpecimen			500	USA	Mesa		39.102	-108.738	2011-05-25		COM		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO295718	pan trap	Halictus tripartitus			Colorado	2011	gbif	Halictus tripartitus	c(-753281.546777441, -615891.562006084)	Colorado Plateaus
	PreservedSpecimen			500	USA	Mesa		39.102	-108.738	2011-05-25		COM		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO295736	pan trap	Lasioglossum arcanum			Colorado	2011	gbif	Lasioglossum arcanum	c(-753281.546777441, -615891.562006084)	Colorado Plateaus
	PreservedSpecimen			500	USA	Mesa		39.102	-108.738	2011-05-25		COM		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO295754	pan trap	Lasioglossum semicaeruleum			Colorado	2011	gbif	Lasioglossum semicaeruleum	c(-753281.546777441, -615891.562006084)	Colorado Plateaus
	PreservedSpecimen			500	USA	Mesa		39.102	-108.738	2011-05-25		COM		NA		USGS			http://www.discoverlife.org/mp/20l?id=USGS_DRO295772	pan trap	Lasioglossum hudsoniellum			Colorado	2011	gbif	Lasioglossum hudsoniellum	c(-753281.546777441, -615891.562006084)	Colorado Plateaus
