associatedTaxa	basisOfRecord	collectionCode	collectionID	coordinateUncertaintyInMeters	country	county	day	decimalLatitude	decimalLongitude	eventDate	genus	habitat	identificationID	informationWithheld	infraspecificEpithet	institutionCode	locality	month	occurrenceID	samplingProtocol	scientificName	scientificNameAuthorship	specificEpithet	stateProvince	year	dataAggregatorName	resolvedNames	geometry	ecoregion
	PreservedSpecimen	UCMC	17c97d22-5064-49c9-a323-110c14056ebe	90692	United States	Teton County	28	43.935	-110.59	1995-06-28	Bombus			NA		UCM	Teton County	6	cf413a6f-a2b6-44b2-8c4a-f7a3a52fcb32		Bombus occidentalis	Greene, 1858	occidentalis	Wyoming	1995	idigbio	Bombus occidentalis	c(-845039.581747881, -63299.5778648726)	Middle Rockies
	PreservedSpecimen	UCMC	17c97d22-5064-49c9-a323-110c14056ebe	90692	United States	Teton County	15	43.935	-110.59	1995-07-15	Bombus			NA		UCM	Teton County	7	a3fcc8e2-607d-46fa-bc55-d7e02dc09e0a		Bombus occidentalis	Greene, 1858	occidentalis	Wyoming	1995	idigbio	Bombus occidentalis	c(-845039.581747881, -63299.5778648726)	Middle Rockies
	PreservedSpecimen	UCMC	17c97d22-5064-49c9-a323-110c14056ebe	90692	United States	Teton County	27	43.935	-110.59	1995-07-27	Bombus			NA		UCM	Teton County	7	706bcaab-286f-4593-a944-c15e34be12c6		Bombus occidentalis	Greene, 1858	occidentalis	Wyoming	1995	idigbio	Bombus occidentalis	c(-845039.581747881, -63299.5778648726)	Middle Rockies
	PreservedSpecimen	UCMC	17c97d22-5064-49c9-a323-110c14056ebe	90692	United States	Teton County	29	43.935	-110.59	1995-07-29	Bombus			NA		UCM	Teton County	7	b3350406-30f7-4e21-875a-4495551f656c		Bombus occidentalis	Greene, 1858	occidentalis	Wyoming	1995	idigbio	Bombus occidentalis	c(-845039.581747881, -63299.5778648726)	Middle Rockies
	PreservedSpecimen	UCMC	17c97d22-5064-49c9-a323-110c14056ebe	90692	United States	Teton County	7	43.935	-110.59	1995-08-07	Bombus			NA		UCM	Teton County	8	691a4e40-17be-4a3e-ae19-31e5290bc603		Bombus occidentalis	Greene, 1858	occidentalis	Wyoming	1995	idigbio	Bombus occidentalis	c(-845039.581747881, -63299.5778648726)	Middle Rockies
	PreservedSpecimen	UCMC	17c97d22-5064-49c9-a323-110c14056ebe	90692	United States	Teton County	7	43.935	-110.59	1995-08-07	Bombus			NA		UCM	Teton County	8	51e62ee9-083f-44f3-832c-2eecffa3e221		Bombus occidentalis	Greene, 1858	occidentalis	Wyoming	1995	idigbio	Bombus occidentalis	c(-845039.581747881, -63299.5778648726)	Middle Rockies
	PreservedSpecimen	ENT		9545	USA	Sublette County	5	43	-109.679	1965-08-05	Bombus			NA		YPM	Elk Heart Park Road, 13 mi. N.E. of Pinedale	8	urn:uuid:3420f109-9a18-4488-96e1-36f27685ece2		Bombus mixtus	Cresson	mixtus	Wyoming	1965	idigbio	Bombus mixtus	c(-784950.504553347, -175795.272617514)	Middle Rockies
	PreservedSpecimen	ENT		8055	USA	Gallatin County	3	44.775	-111.262	1964-07-03	Bombus			NA		YPM	11 mi. N.W. of West Yellowstone	7	urn:uuid:ed5b7f30-2ad3-4878-a31b-c9f0276c65e4		Bombus rufocinctus	Cresson	rufocinctus	Montana	1964	idigbio	Bombus rufocinctus	c(-885394.367683339, 36649.0439321601)	Middle Rockies
	PreservedSpecimen	ENT		14202	USA	Madison County	3	45.193	-112.142	1964-07-03	Agapostemon			NA		YPM	Ruby River Reservoir, 9 mi. S. of Alder	7	urn:uuid:45fe2b5e-a9cc-42d8-8be6-9b04a52b5168		Agapostemon texanus	Cresson	texanus	Montana	1964	idigbio	Agapostemon angelicus/texanus	c(-947002.16190767, 92740.8561039955)	Middle Rockies
	PreservedSpecimen	ENT		9545	USA	Sublette County	5	43	-109.679	1965-08-05	Bombus			NA		YPM	Elk Heart Park Road, 13 mi. N.E. of Pinedale	8	urn:uuid:ba94c0ee-2efd-4216-b48c-d5a29e6855c1		Bombus occidentalis	Greene	occidentalis	Wyoming	1965	idigbio	Bombus occidentalis	c(-784950.504553347, -175795.272617514)	Middle Rockies
	PreservedSpecimen	ENT		3036	USA	Madison County	4	45.168	-111.56	1965-08-04	Agapostemon			NA		YPM	Bear Creek Ranger Station	8	urn:uuid:0774276a-1bdd-4e64-926b-2c0201f0f632		Agapostemon virescens	(Fabr.)	virescens	Montana	1965	idigbio	Agapostemon virescens	c(-902404.317629182, 83318.5613263593)	Middle Rockies
	PreservedSpecimen	ENT		10660	USA	Teton County	28	43.613	-110.579	1964-07-28	Bombus			NA		YPM	13 mi. N.E. of Jackson	7	urn:uuid:42e70e23-e7fc-42c6-809b-b15a57e73824		Bombus occidentalis	Greene	occidentalis	Wyoming	1964	idigbio	Bombus occidentalis	c(-848761.276767678, -98995.5018086615)	Middle Rockies
	PreservedSpecimen	ENT		90	USA	Teton County	18	43.75	-110.08	1967-07-18	Bombus			NA		YPM	Willow Bogs on Rosies Ridge, W. side Togwotee Pass	7	urn:uuid:333b4548-dffa-44f6-a846-02f16b9ab379		Bombus appositus	Cresson	appositus	Wyoming	1967	idigbio	Bombus appositus	c(-807127.990580244, -88932.1026470485)	Middle Rockies
